Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,UF,Regiao
1998,0,0,0,0,0,3,35,131,512,44,0,7,732,Acre,Norte
1999,0,0,0,0,0,0,1,67,212,63,4,0,347,Acre,Norte
2000,0,0,11,1,1,1,1,136,261,18,0,0,430,Acre,Norte
2001,0,0,0,0,0,1,3,399,288,137,1,0,829,Acre,Norte
2002,0,1,0,0,0,0,59,1268,4337,932,139,3,6739,Acre,Norte
2003,14,0,0,5,18,18,427,3163,5803,1041,30,4,10523,Acre,Norte
2004,0,4,0,9,21,12,95,1003,5458,633,25,11,7271,Acre,Norte
2005,20,0,5,2,17,75,1136,7669,6092,943,27,7,15993,Acre,Norte
2006,7,1,0,2,58,34,186,1507,3737,600,66,0,6198,Acre,Norte
2007,1,14,5,8,15,76,181,1942,5446,823,38,0,8549,Acre,Norte
2008,0,0,1,1,23,18,165,1621,2947,856,63,4,5699,Acre,Norte
2009,0,2,0,2,10,1,59,366,2067,952,50,2,3511,Acre,Norte
2010,1,0,1,10,33,41,210,2752,5030,523,58,2,8661,Acre,Norte
2011,2,0,0,4,8,26,130,685,1912,264,152,8,3191,Acre,Norte
2012,1,0,0,3,15,12,132,1092,2796,627,39,3,4720,Acre,Norte
2013,0,0,0,46,11,19,98,1045,3331,318,108,4,4980,Acre,Norte
2014,0,0,1,7,1,23,91,1263,2528,406,70,8,4398,Acre,Norte
2015,3,2,1,3,2,42,118,1624,2949,912,115,8,5779,Acre,Norte
2016,13,2,0,1,23,101,588,2526,3863,515,46,6,7684,Acre,Norte
2017,0,4,0,1,9,39,362,1318,3100,1350,102,10,6295,Acre,Norte
2018,0,2,1,5,14,41,381,1368,4379,407,26,2,6626,Acre,Norte
2019,1,1,2,6,33,60,272,3051,2977,354,44,1,6802,Acre,Norte
2020,16,0,1,4,39,71,335,3578,3357,1652,129,11,9193,Acre,Norte
1998,0,0,0,0,0,0,0,1,14,20,19,32,86,Alagoas,Nordeste
1999,58,19,52,4,1,0,0,3,3,4,15,12,171,Alagoas,Nordeste
2000,11,16,32,20,1,0,0,4,22,13,2,2,123,Alagoas,Nordeste
2001,5,4,0,0,2,2,0,1,5,15,22,30,86,Alagoas,Nordeste
2002,12,15,27,6,1,0,7,5,23,35,58,102,291,Alagoas,Nordeste
2003,147,52,32,22,7,5,4,7,8,18,20,51,373,Alagoas,Nordeste
2004,13,15,34,10,3,1,3,2,11,23,38,80,233,Alagoas,Nordeste
2005,91,47,45,3,0,3,2,9,14,20,32,26,292,Alagoas,Nordeste
2006,36,32,46,7,2,0,3,5,13,39,25,60,268,Alagoas,Nordeste
2007,33,33,12,16,2,1,6,3,12,25,44,75,262,Alagoas,Nordeste
2008,52,83,47,26,8,1,0,3,14,32,73,70,409,Alagoas,Nordeste
2009,112,33,47,5,0,0,1,0,16,26,56,64,360,Alagoas,Nordeste
2010,32,39,87,5,0,2,1,4,17,14,46,52,299,Alagoas,Nordeste
